Longitude,Latitude,ScientificName,SiteVisitID,Month-year,StartDate,EndDate,SiteID,SiteCode,LocalityDetails,LocationPrecision,ProjectID,ProjectName,OrganisationID,OrganisationName,OrganisationAcronym
152.93258,-27.290283,Phascolarctos cinereus,1883926,Apr-18,14/4/2018,14/4/2018,1669173,INCIDENTAL,2 Edith Crt Cashmere,88,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.7418194,-26.29028333,Phascolarctos cinereus,1960879,Apr-18,18/4/2018,,1720135,INCIDENTAL,"379 Burridge Rd, Tandur",100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.982082,-27.296792,Phascolarctos cinereus,1883913,Apr-18,19/4/2018,19/4/2018,1669180,INCIDENTAL,John Bray Park - Paxton Crt Bray Park,250,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.948954,-27.284535,Phascolarctos cinereus,1883927,Apr-18,19/4/2018,19/4/2018,1669174,INCIDENTAL,3 Gordons Crossing Rd E. Joyner,122,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.949476,-27.284778,Phascolarctos cinereus,1883928,Apr-18,21/4/2018,21/4/2018,1669175,INCIDENTAL,25 Youngs Crossing Rd Joyner,117,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.999123,-27.289949,Phascolarctos cinereus,1892544,Apr-18,22/4/2018,22/4/2018,1677215,INCIDENTAL,"Rob Akers Reserve - Bells Pocket, Rd, Strathpine",310,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.953973,-27.283684,Phascolarctos cinereus,1883909,Apr-18,22/4/2018,22/4/2018,1669139,INCIDENTAL,Francis Rd Bray Park (opp Nuttal Pk),179,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.996685,-27.287559,Phascolarctos cinereus,1883929,Apr-18,22/4/2018,22/4/2018,1669176,INCIDENTAL,"Rob Akers Reserve - Bells Pocket, Rd, Strathpine",310,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.949533,-27.284701,Phascolarctos cinereus,1892545,Apr-18,24/4/2018,24/4/2018,1677216,INCIDENTAL,25 Youngs Crossing Rd Joyner,117,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.908866,-27.335082,Phascolarctos cinereus,1883912,Apr-18,25/4/2018,25/4/2018,1669179,INCIDENTAL,2 Turbal Crt Clear Mountain,69,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.988106,-27.249018,Phascolarctos cinereus,1883910,Apr-18,25/4/2018,25/4/2018,1669177,INCIDENTAL,cnr Lauder St & Alonga Crt Kallangur 4503,13,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.989932,-27.374251,Phascolarctos cinereus,1883911,Apr-18,25/4/2018,25/4/2018,1669178,INCIDENTAL,"Beckett Rd, McDowall",120,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.682275,-26.16038889,Phascolarctos cinereus,1960704,Apr-18,25/4/2018,,1719950,INCIDENTAL,Victory Hgts Recreational Trail,100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.6829722,-26.16260833,Phascolarctos cinereus,1960891,Apr-18,25/4/2018,,1720147,INCIDENTAL,Walking trail,100,16599,Koala Action Gympie Region records,3741,Koala Action Gympie Region,KAGR
152.942745,-27.190666,Phascolarctos cinereus,1892551,Apr-18,26/4/2018,26/4/2018,1677222,INCIDENTAL,1086 Oakey Flat Rd Narangba,20,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.997848,-27.289152,Phascolarctos cinereus,1883914,Apr-18,26/4/2018,26/4/2018,1669181,INCIDENTAL,"Rob Akers Reserve - Bells Pocket, Rd, Strathpine",310,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.932259,-27.290261,Phascolarctos cinereus,1892552,Apr-18,27/4/2018,27/4/2018,1677223,INCIDENTAL,9 Adams Rd Cashmere,69,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.983266,-27.363668,Phascolarctos cinereus,1892554,Apr-18,27/4/2018,27/4/2018,1677225,INCIDENTAL,"Kim Greyson Park - 8 Trinity Pl, Bridgeman Downs",24,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.993707,-27.284702,Phascolarctos cinereus,1883915,Apr-18,27/4/2018,27/4/2018,1669182,INCIDENTAL,Walker Rd Lawnton,174,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.922149,-27.283672,Phascolarctos cinereus,1892555,Apr-18,28/4/2018,28/4/2018,1677226,INCIDENTAL,Forgan Cove - Forgan Rd Cashmere,500,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.993673,-27.284883,Phascolarctos cinereus,1883916,Apr-18,28/4/2018,28/4/2018,1669183,INCIDENTAL,Walker Rd Lawnton,174,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.99346,-27.284141,Phascolarctos cinereus,1883917,Apr-18,28/4/2018,28/4/2018,1669165,INCIDENTAL,Walker Rd Lawnton,174,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
152.994471,-27.241713,Phascolarctos cinereus,1892553,Apr-18,29/4/2018,29/4/2018,1677224,INCIDENTAL,Fresh Water Res School Rd Kallangur,342,14999,Daisy Hill Koala Centre records,3461,"Department of Environment, Science and Innovation",DES
